rxn,category
O=CC1c2ccccc2CC1O>>OCC1c2ccccc2CC1O,2
O=C(CCCO)c1cccnc1>>NC(CCCO)c1cccnc1,3
CCCCCCCCCCCCCCC=O>>CCCCCCCCCCCCCCCO,2
O=C1c2ccccc2CC1CO>>OCC1Cc2ccccc2C1O,2
N[C@@H](C=O)C(=O)O>>NC[C@H](N)C(=O)O,3
N/C=C1\C(=O)CCOC1=O>>NC=C1C(=O)OCCC1N,3
NC1C=CC(=O)C(O)=C1>>NC1C=CC(N)C(O)=C1,3
CC(=O)CC(O)CC(=O)O>>CC(N)CC(O)CC(=O)O,3
O=C(CO)[C@@H](O)CO>>NC(CO)[C@@H](O)CO,3
CC(N)CC(=O)CC(=O)O>>CC(N)CC(N)CC(=O)O,3
O=CCCC(=O)c1cccnc1>>O=C(CCCO)c1cccnc1,2
O=C(CO)COP(=O)(O)O>>O=P(O)(O)OCC(O)CO,2
O=C1c2ccccc2C=CC1O>>NC1c2ccccc2C=CC1O,3
CCCCCCCCCCCCCCCC=O>>CCCCCCCCCCCCCCCCN,3
CC(=O)CC(=O)C(=O)O>>CC(N)CC(=O)C(=O)O,3
CC(O)C(=O)c1ccccc1>>CC(O)C(O)c1ccccc1,2
CC(O)C(=O)c1ccccc1>>CC(O)C(N)c1ccccc1,3
O=C(O)CC(=O)C(=O)O>>O=C(O)CC(O)C(=O)O,2
NC(C=O)COP(=O)(O)O>>NCC(N)COP(=O)(O)O,3
O=CCCC(=O)c1cccnc1>>NC(CCC=O)c1cccnc1,3
O=C1CC(O)c2ccccc21>>OC1CC(O)c2ccccc21,2
O=CCc1ccc(O)c(O)c1>>NCCc1ccc(O)c(O)c1,3
CN1C2CCCC1CC(=O)C2>>CN1C2CCCC1CC(O)C2,2
C/C(=C\C=C\CC=O)CO>>C/C(=C\C=C\CCO)CO,2
CN1C2CCCC1CC(=O)C2>>CN1C2CCCC1CC(N)C2,3
O=CCCC(=O)c1cccnc1>>O=CCCC(O)c1cccnc1,2
O=C(O)C(=O)CC(O)CO>>NC(CC(O)CO)C(=O)O,3
CC(=O)c1ccc(O)cc1O>>CC(N)c1ccc(O)cc1O,3
O=C1CC(O)c2ccccc21>>NC1CC(O)c2ccccc21,3
NC(CC(=O)CO)C(=O)O>>NC(CC(O)CO)C(=O)O,2
CC(=O)CCC(N)C(=O)O>>CC(N)CCC(N)C(=O)O,3
O=CC(O)COP(=O)(O)O>>NCC(O)COP(=O)(O)O,3
O=Cc1ccc2ccccc2c1O>>NCc1ccc2ccccc2c1O,3
CC(N)CC(=O)CC(=O)O>>CC(N)CC(O)CC(=O)O,2
